Brand,Title,Vendor,Handle,Product URL,Price,Available,Image URL (Lookskart CDN),Local Image Path,Product ID
L'Oreal Professionnel,Kerastase Elixir Ultime Hair Oil-In-Serum Refill (75ml),kerastase,kerastase-elixir-ultime-hair-oil-in-serum-refill-75ml,https://lookskart.com/products/kerastase-elixir-ultime-hair-oil-in-serum-refill-75ml,4500.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/kerastase-elixir-ultime-lhuile-originale-oil-refill-75-ml.jpg?v=1736759398,/images/products/lookskart/all/loreal-professionnel/kerastase-elixir-ultime-hair-oil-in-serum-refill-75ml.jpg,8243435700432
L'Oreal Professionnel,Kerastase Elixir Ultime Original Refillable Hair Oil 75ml,kerastase,kerastase-elixir-ultime-original-refillable-hair-oil-75ml,https://lookskart.com/products/kerastase-elixir-ultime-original-refillable-hair-oil-75ml,5900.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/ElixirUltime1_b10a2319-a0c3-44a3-aa9e-001ff915988b_refillable.webp?v=1736759328,/images/products/lookskart/all/loreal-professionnel/kerastase-elixir-ultime-original-refillable-hair-oil-75ml.webp,8243433996496
L'Oreal Professionnel,Kerastase Genesis - Bain Hydra-Fortifiant Shampoo 500ml,kerastase,kerastase-genesis-bain-hydra-fortifiant-shampoo-500ml,https://lookskart.com/products/kerastase-genesis-bain-hydra-fortifiant-shampoo-500ml,4950.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/bainhydrafortifiantgenesiskerastase-500ml_reflexions_unisex_salon_700x700_748e8b9b-7bea-43f5-91de-02dc8d82b94b.webp?v=1736760263,/images/products/lookskart/all/loreal-professionnel/kerastase-genesis-bain-hydra-fortifiant-shampoo-500ml.webp,8243736608976
L'Oreal Professionnel,Kerastase Genesis - Bain Hydra-Fortifiant Shampoo Refill 500ml,kerastase,kerastase-genesis-bain-hydra-fortifiant-shampoo-refill-500ml,https://lookskart.com/products/kerastase-genesis-bain-hydra-fortifiant-shampoo-refill-500ml,4500.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/bainhydrafortifiantgenesiskerastase-refill-500ml_reflexions_unisex_salon_720x_5853764d-bfde-4af3-9dfe-c7e9b8c86650.webp?v=1749797283,/images/products/lookskart/all/loreal-professionnel/kerastase-genesis-bain-hydra-fortifiant-shampoo-refill-500ml.webp,8243735953616
L'Oreal Professionnel,Kerastase Gloss Absolu Anti-Frizz Heat Protectant Spray 190ml,kerastase,kerastase-gloss-absolu-anti-frizz-heat-protectant-spray-190ml,https://lookskart.com/products/kerastase-gloss-absolu-anti-frizz-heat-protectant-spray-190ml,3000.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00330_spray_packshot_image_190ml_1.webp?v=1752052306,/images/products/lookskart/all/loreal-professionnel/kerastase-gloss-absolu-anti-frizz-heat-protectant-spray-190ml.webp,8330831593680
L'Oreal Professionnel,Kerastase Gloss Absolu Glaze Drops Oil-In-Serum 45ml,kerastase,kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml,https://lookskart.com/products/kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml,3800.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00331_oil_packshot_image_45ml_1.webp?v=1752048127,/images/products/lookskart/all/loreal-professionnel/kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml.webp,8330805838032
L'Oreal Professionnel,L'Oreal Professionnel | Serie Expert | Absolut Repair Lipidium Masque | 250ml,Loreal,loreal-professionnel-serie-expert-absolut-repair-lipidium-masque-250ml,https://lookskart.com/products/loreal-professionnel-serie-expert-absolut-repair-lipidium-masque-250ml,990.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0016_pl6.jpg?v=1672141890,/images/products/lookskart/all/loreal-professionnel/loreal-professionnel-serie-expert-absolut-repair-lipidium-masque-250ml.jpg,7832977113296
L'Oreal Professionnel,L'Oreal Professionnel | Serie Expert | Absolut Repair Lipidium Serum | 90ml,Loreal,loreal-professionnel-serie-expert-absolut-repair-lipidium-serum-50ml,https://lookskart.com/products/loreal-professionnel-serie-expert-absolut-repair-lipidium-serum-50ml,1300.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0015_pl7.jpg?v=1672142053,/images/products/lookskart/all/loreal-professionnel/loreal-professionnel-serie-expert-absolut-repair-lipidium-serum-50ml.jpg,7832976916688
L'Oreal Professionnel,L'Oreal Professionnel | Serie Expert | Absolut Repair Lipidium Shampoo | 300ml,Loreal,loreal-professionnel-serie-expert-absolut-repair-lipidium-shampoo-300ml,https://lookskart.com/products/loreal-professionnel-serie-expert-absolut-repair-lipidium-shampoo-300ml,703.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0017_pl5.jpg?v=1672141875,/images/products/lookskart/all/loreal-professionnel/loreal-professionnel-serie-expert-absolut-repair-lipidium-shampoo-300ml.jpg,7832977342672
L'Oreal Professionnel,L'Oreal Professionnel | Serie Expert | Inforcer Masque | 250ml,Loreal,loreal-professionnel-serie-expert-inforcer-masque-250ml,https://lookskart.com/products/loreal-professionnel-serie-expert-inforcer-masque-250ml,975.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-3_0022_inforcermasq-min.jpg?v=1672136415,/images/products/lookskart/all/loreal-professionnel/loreal-professionnel-serie-expert-inforcer-masque-250ml.jpg,7832977440976
